Name,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value
Boiler Emissions- Total PM2.5 Emissions,UHF42,104,Pelham - Throgs Neck,2013,2013-01-01,0.5
Boiler Emissions- Total PM2.5 Emissions,UHF42,105,Crotona -Tremont,2013,2013-01-01,2.0
Boiler Emissions- Total PM2.5 Emissions,UHF42,106,High Bridge - Morrisania,2013,2013-01-01,2.4
Boiler Emissions- Total PM2.5 Emissions,UHF42,107,Hunts Point - Mott Haven,2013,2013-01-01,0.4
Boiler Emissions- Total PM2.5 Emissions,UHF42,201,Greenpoint,2013,2013-01-01,0.1
Boiler Emissions- Total PM2.5 Emissions,UHF42,202,Downtown - Heights - Slope,2013,2013-01-01,0.1
Boiler Emissions- Total PM2.5 Emissions,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,2013-01-01,0.1
Boiler Emissions- Total PM2.5 Emissions,UHF42,204,East New York,2013,2013-01-01,0.0
Boiler Emissions- Total PM2.5 Emissions,UHF42,205,Sunset Park,2013,2013-01-01,0.0
Boiler Emissions- Total PM2.5 Emissions,UHF42,206,Borough Park,2013,2013-01-01,0.2
Boiler Emissions- Total PM2.5 Emissions,UHF42,207,East Flatbush - Flatbush,2013,2013-01-01,0.3
Boiler Emissions- Total PM2.5 Emissions,UHF42,208,Canarsie - Flatlands,2013,2013-01-01,0.0
Boiler Emissions- Total PM2.5 Emissions,UHF42,209,Bensonhurst - Bay Ridge,2013,2013-01-01,0.2
Boiler Emissions- Total PM2.5 Emissions,UHF42,210,Coney Island - Sheepshead Bay,2013,2013-01-01,0.1
Boiler Emissions- Total PM2.5 Emissions,UHF42,211,Williamsburg - Bushwick,2013,2013-01-01,0.1
Boiler Emissions- Total PM2.5 Emissions,UHF42,301,Washington Heights,2013,2013-01-01,5.8
Boiler Emissions- Total PM2.5 Emissions,UHF42,302,Central Harlem - Morningside Heights,2013,2013-01-01,2.0
Boiler Emissions- Total PM2.5 Emissions,UHF42,303,East Harlem,2013,2013-01-01,1.3
Boiler Emissions- Total PM2.5 Emissions,UHF42,304,Upper West Side,2013,2013-01-01,11.4
Boiler Emissions- Total PM2.5 Emissions,UHF42,305,Upper East Side,2013,2013-01-01,10.8
Boiler Emissions- Total PM2.5 Emissions,UHF42,306,Chelsea - Clinton,2013,2013-01-01,7.7
Boiler Emissions- Total PM2.5 Emissions,UHF42,307,Gramercy Park - Murray Hill,2013,2013-01-01,9.0
Boiler Emissions- Total PM2.5 Emissions,UHF42,308,Greenwich Village - SoHo,2013,2013-01-01,4.1
Boiler Emissions- Total PM2.5 Emissions,UHF42,309,Union Square - Lower East Side,2013,2013-01-01,3.0
Boiler Emissions- Total PM2.5 Emissions,UHF42,310,Lower Manhattan,2013,2013-01-01,1.7
